Label,Count
OffensiveMoveGoLeft         CleanedGRs,1
OffensiveMoveSpinRight             CleanedGRS,1
WalkEvasiveLeft      CleanedGRS,1
WalkEvasiveRight              CleanedGRS,1
FeintLeftMoveRight            CleanedGRS,1
FeintRightMoveLeft      CleanedGRS,1
FakeShotBreakRight     CleanedGRs,1
FakeShotBreakLeft            CleanedGRS,1
putting on a ball cap,1
putting on a dress,1
pushing a swing,1
hanging picture,1
raking,1
swatting at a fly,1
holding a baby,1
washing,1
football,1
frisbee,1
weight lifting,1
flexing,1
rowing,1
digging a hole,1
paying for something,1
picking up something,1
typing on a laptop,1
planting a flower,1
putting on a sweater,1
drumming,1
teaching,1
putting on a coat,1
hand mixing dough,1
pushing broom,1
planting,1
pushing swing,1
putting on a hat,1
putting on a skirt,1
shooting bow and arrow,1
combing hair,1
chug a beer,1
horse,1
answering the phone,1
drinking water,1
sipping martinee,1
drinking a soda,1
sipping coffee,1
washing a window,1
chipmunk,1
T-rex,1
cow,1
tiger,1
penguin,1
movie and trial dont match,1
shaving,1
no movie,1
cold,1
very happy,1
sad,1
scared,1
upset,1
channel surfing,1
taking a movie,1
using a palm pilot,1
brushing teeth,1
putting on deoderant,1
Walking001,1
